??Id;Data Name;Technology;Zone;Begin data;End date;Time step;GMT;Source;Source date;Creator;Creation date;Validator;Validation date;Validation Status;Public data?;Comments;Class;Location;Value;Data hash;Consistency
N/A;_availability;Wind offshore fleet;SE;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_SE__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;ES;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_ES__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;FR;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_FR__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;GR;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_GR__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;IT;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_IT__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;HR;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_HR__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;LV;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_LV__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;LT;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_LT__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;DK;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_DK__availability.csv;N/A;N/A;N/A
N/A;_availability;Wind offshore fleet;MT;Sat Jan 01 00:00:00 CET 2050;Sun Jan 01 00:00:00 CET 2051;60;Etc/GMT-1;METIS-S1-2050;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RandomValueData;Wind_offshore_fleet_MT__availability.csv;N/A;N/A;N/A
