Class;Data Name;Technology;Zone;GMT;Location;Source;Source date;Creator;Creation date;Validator;Validation date;Validation Status;Public data?;Comments
RandomValueData;_demand;Battery EV at work;SI;;demand_SI_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;BE;;demand_BE_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;BG;;demand_BG_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;CY;;demand_CY_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;BA;;demand_BA_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;CZ;;demand_CZ_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;SK;;demand_SK_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;PT;;demand_PT_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;EE;;demand_EE_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;LV;;demand_LV_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;EE;;demand_EE_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;RO;;demand_RO_Battery_EV_at_work_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;EE;;demand_EE_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;BE;;demand_BE_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;ES;;demand_ES_Battery_EV_at_work_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;SI;;demand_SI_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;CH;;demand_CH_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;DK;;demand_DK_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;BG;;demand_BG_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;DE;;demand_DE_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;PT;;demand_PT_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;LU;;demand_LU_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;SE;;demand_SE_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;CH;;demand_CH_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;DK;;demand_DK_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;ES;;demand_ES_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;AT;;demand_AT_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;RS;;demand_RS_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;GR;;demand_GR_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;NL;;demand_NL_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;CY;;demand_CY_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;GB;;demand_GB_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;FR;;demand_FR_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;DE;;demand_DE_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;DK;;demand_DK_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;IT;;demand_IT_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;IE;;demand_IE_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;RS;;demand_RS_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;FR;;demand_FR_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;HR;;demand_HR_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;LT;;demand_LT_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;MT;;demand_MT_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;MK;;demand_MK_Battery_EV_at_work_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;LT;;demand_LT_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;MK;;demand_MK_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;LU;;demand_LU_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;NL;;demand_NL_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;LT;;demand_LT_Battery_EV_at_work_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;MK;;demand_MK_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;MT;;demand_MT_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;MK;;demand_MK_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;ME;;demand_ME_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;FI;;demand_FI_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;MK;;demand_MK_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;DE;;demand_DE_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;NO;;demand_NO_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;IT;;demand_IT_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;CH;;demand_CH_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;NL;;demand_NL_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;DE;;demand_DE_Battery_EV_at_work_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;BG;;demand_BG_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;CZ;;demand_CZ_Sanitary_hot_water_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;HR;;demand_HR_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at work;BA;;demand_BA_Battery_EV_at_work_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
RandomValueData;_demand;Sanitary hot water;HR;;demand_HR_Sanitary_hot_water_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;IE;;demand_IE_Battery_EV_at_home_REF16_2030.csv;REF16_2030;Artelys;;;;;;;
RandomValueData;_demand;Battery EV at home;DK;;demand_DK_Battery_EV_at_home_EUCO30_2030.csv;EUCO30_2030;Artelys;;;;;;;
