TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 0;Test case 1;Test case 2;Test case 3;Test case 4;Test case 5;Test case 6;Test case 7;Test case 8;Test case 9
01/01/2050 00:00;0,000000;0,000000;0,000000;96,403537;82,611319;70,638343;0,000000;186,375834;169,235458;0,000000
02/01/2050 00:00;0,000000;0,000000;0,000000;96,403537;82,611319;70,638343;0,000000;186,375834;169,235458;0,000000
03/01/2050 00:00;0,000000;0,000000;0,000000;104,216446;84,939824;71,234727;0,000000;194,643205;162,599204;0,000000
04/01/2050 00:00;0,000000;0,000000;0,000000;126,059344;86,863372;74,393352;0,000000;200,713391;155,281745;0,000000
05/01/2050 00:00;0,000000;0,000000;0,000000;155,870301;88,295909;77,794948;0,000000;204,065028;149,260773;0,000000
06/01/2050 00:00;0,000000;0,000000;0,000000;194,957009;88,088369;79,087113;0,000000;206,647030;142,020225;0,000000
07/01/2050 00:00;4,448012;0,000000;0,000000;235,672792;87,430313;77,905390;0,000000;208,471810;134,647831;0,000000
08/01/2050 00:00;11,136185;0,000000;0,000000;263,156500;86,412857;76,237724;0,000000;210,321417;127,110628;0,000000
09/01/2050 00:00;13,914847;46,938641;0,000000;273,440726;85,116993;72,626289;0,000000;213,027553;117,321055;0,000000
10/01/2050 00:00;13,300956;96,833005;0,000000;274,083490;82,692311;66,386348;0,000000;213,064794;103,949663;0,000000
11/01/2050 00:00;8,551384;143,837819;0,000000;268,420516;75,296775;60,499819;0,000000;207,342184;82,513685;0,000000
12/01/2050 00:00;3,704882;182,151926;0,000000;257,892483;66,817979;55,839191;0,000000;201,706469;62,066552;0,000000
13/01/2050 00:00;0,000000;205,422728;0,000000;243,075662;58,237943;55,806058;0,000000;196,902456;45,212225;0,000000
14/01/2050 00:00;0,000000;218,238212;0,000000;229,422465;48,706257;59,240787;0,000000;190,323317;29,577475;0,000000
15/01/2050 00:00;0,000000;226,587026;0,000000;219,071746;38,501329;62,609251;0,000000;181,224244;14,228392;0,000000
16/01/2050 00:00;0,000000;238,762839;0,000000;209,241888;29,192370;65,370287;0,000000;171,132093;0,362577;0,000000
17/01/2050 00:00;0,000000;262,430678;0,000000;198,769266;24,565731;68,153411;0,000000;160,344788;0,000000;0,000000
18/01/2050 00:00;0,000000;290,046834;0,000000;188,518286;22,328341;69,511840;0,000000;152,524302;0,000000;0,000000
19/01/2050 00:00;0,000000;315,479284;0,000000;181,425716;22,024623;66,695584;0,000000;144,306585;0,000000;0,000000
20/01/2050 00:00;0,000000;335,617902;0,000000;179,253617;24,110154;62,885354;0,000000;138,087437;0,000000;0,000000
21/01/2050 00:00;7,183593;354,830099;0,000000;183,099119;28,114171;55,717705;0,000000;132,762058;0,000000;0,000000
22/01/2050 00:00;15,734978;377,637691;0,000000;192,818156;32,902793;46,484801;0,000000;129,087671;0,000000;0,000000
23/01/2050 00:00;26,041873;406,422901;0,000000;203,900296;37,215589;29,940674;0,000000;127,970459;0,000000;0,000000
24/01/2050 00:00;37,005738;439,365975;0,000000;214,627808;42,242124;15,384492;0,000000;131,396577;0,000000;0,000000
25/01/2050 00:00;46,892603;469,353325;0,000000;217,963532;48,245618;8,018048;0,000000;138,137091;0,000000;0,000000
26/01/2050 00:00;53,806946;490,683056;0,000000;217,043715;53,170913;4,594364;0,000000;147,298231;0,000000;0,000000
27/01/2050 00:00;60,581279;504,413932;0,000000;217,265357;57,043318;9,166639;0,000000;158,780691;0,000000;0,000000
28/01/2050 00:00;67,775643;514,461183;0,000000;217,475918;60,617068;25,445707;0,000000;171,554151;0,000000;0,000000
29/01/2050 00:00;74,474586;519,512381;0,000000;213,231458;63,846603;44,077177;0,000000;183,458668;0,000000;0,000000
30/01/2050 00:00;80,462709;522,126210;0,000000;205,163660;65,724594;62,023911;0,000000;195,611455;0,000000;0,000000
31/01/2050 00:00;83,769100;523,118804;0,000000;199,445276;65,927072;76,624269;0,000000;208,571117;0,000000;0,000000
01/02/2050 00:00;85,190741;520,868925;0,000000;196,752316;65,992878;88,618209;0,000000;221,841117;0,000000;0,000000
02/02/2050 00:00;81,001209;515,839785;0,000000;196,552838;65,795461;96,437463;0,000000;232,851864;0,000000;0,000000
03/02/2050 00:00;69,391143;508,571795;0,000000;199,312290;64,823563;97,365171;0,000000;242,087486;0,000000;0,000000
04/02/2050 00:00;50,360544;497,973103;0,000000;210,172788;61,371301;92,781851;0,000000;233,286336;0,000000;0,000000
05/02/2050 00:00;32,923906;487,076633;0,000000;224,889870;56,668733;87,635280;0,000000;218,414999;0,000000;0,000000
06/02/2050 00:00;17,038148;471,426743;0,000000;233,345543;51,627012;85,349142;0,000000;203,754691;0,000000;0,000000
